,location,total_sqft,bath,price,bhk
5112,Marathahalli,1135.0,2.0,60.0,2
5113,Marathahalli,1839.0,3.0,130.0,3
5114,Marathahalli,1170.0,2.0,85.0,2
5116,Marathahalli,1108.0,2.0,60.0,3
5117,Marathahalli,1449.0,3.0,110.0,3
5118,Marathahalli,1360.0,2.0,101.0,2
5120,Marathahalli,1800.0,3.0,95.0,3
5121,Marathahalli,1650.0,3.0,85.0,3
5122,Marathahalli,1270.0,2.0,80.0,2
5126,Marathahalli,1485.0,2.0,90.0,3
5127,Marathahalli,1146.0,2.0,69.0,2
5128,Margondanahalli,1090.0,2.0,58.0,2
5130,Margondanahalli,1200.0,2.0,67.0,2
5131,Margondanahalli,1200.0,2.0,65.0,3
5132,Margondanahalli,1000.0,2.0,57.0,2
5134,Margondanahalli,600.0,2.0,35.0,2
5135,Margondanahalli,1200.0,2.0,69.0,2
5136,Margondanahalli,900.0,2.0,49.0,2
5137,Margondanahalli,1140.0,2.0,60.0,2
5139,Margondanahalli,1152.0,1.0,66.0,2
5141,Margondanahalli,1200.0,2.0,65.0,2
5142,Margondanahalli,1050.0,2.0,58.0,2
5143,Margondanahalli,1160.0,2.0,65.0,2
5145,Marsur,1800.0,4.0,145.0,4
5146,Marsur,1200.0,3.0,90.0,3
5147,Marsur,1200.0,3.0,120.0,3
5152,Mico Layout,800.0,1.0,29.5,1
5171,Murugeshpalya,1296.0,2.0,81.0,2
5174,Murugeshpalya,1185.0,2.0,85.0,2
5180,Murugeshpalya,1855.0,3.0,96.0,3
5181,Murugeshpalya,1175.0,2.0,75.0,2
5182,Mysore Road,1175.0,2.0,73.5,2
5183,Mysore Road,1710.0,4.0,91.31,3
5185,Mysore Road,1175.0,2.0,73.5,2
5188,Mysore Road,1060.0,2.0,62.0,2
5191,Mysore Road,1525.0,3.0,96.0,3
5192,Mysore Road,1200.0,2.0,65.0,2
5199,Mysore Road,883.0,2.0,50.0,2
5202,Mysore Road,1237.0,2.0,73.0,2
5204,Mysore Road,1170.0,2.0,65.0,2
5209,Mysore Road,1568.0,2.0,100.0,3
5211,Mysore Road,1560.0,2.0,83.3,3
5212,Mysore Road,1175.0,2.0,70.5,2
5213,Mysore Road,1080.0,2.0,60.0,3
5229,NRI Layout,1250.0,2.0,75.0,2
5232,NRI Layout,2400.0,2.0,125.0,2
5233,Nagarbhavi,1630.0,2.0,98.0,3
5234,Nagarbhavi,1350.0,3.0,150.0,3
5235,Nagarbhavi,1200.0,2.0,150.0,2
5237,Nagarbhavi,2400.0,3.0,160.0,3
5238,Nagarbhavi,884.0,2.0,36.0,1
5239,Nagarbhavi,1055.0,2.0,55.0,2
5244,Nagarbhavi,1200.0,2.0,150.0,2
5245,Nagarbhavi,1400.0,2.0,85.0,3
5246,Nagarbhavi,1515.0,2.0,79.0,3
5248,Nagarbhavi,300.0,1.0,20.0,1
5249,Nagarbhavi,1250.0,3.0,175.0,4
5250,Nagarbhavi,710.0,2.0,40.0,1
5253,Nagarbhavi,1020.0,2.0,55.0,2
5259,Nagarbhavi,1190.0,2.0,63.0,2
5261,Nagarbhavi,1050.0,2.0,80.0,2
5264,Nagarbhavi,1250.0,3.0,170.0,2
5265,Nagarbhavi,1635.0,3.0,85.0,3
5266,Nagarbhavi,1400.0,2.0,135.0,3
5270,Nagarbhavi,1800.0,3.0,180.0,4
5273,Nagasandra,2400.0,4.0,145.0,4
5274,Nagasandra,7000.0,8.0,450.0,4
5275,Nagasandra,1650.0,3.0,95.0,3
5276,Nagasandra,1500.0,2.0,91.0,2
5277,Nagavara,400.0,1.0,14.0,1
5280,Nagavara,2319.0,3.0,180.0,3
5281,Nagavara,2430.0,4.0,180.0,3
5284,Nagavara,1315.0,2.0,70.0,2
5289,Nagavarapalya,1392.0,2.0,99.0,2
5290,Nagavarapalya,705.0,1.0,52.5,1
5291,Nagavarapalya,1300.0,3.0,80.0,3
5292,Nagavarapalya,705.0,1.0,57.0,1
5293,Nagavarapalya,705.0,1.0,55.0,1
5294,Nagavarapalya,705.0,1.0,57.0,1
5295,Nagavarapalya,1335.0,2.0,110.0,2
5296,Nagavarapalya,1260.0,2.0,85.5,2
5297,Narayanapura,1308.0,2.0,89.04,2
5298,Narayanapura,1566.0,3.0,83.3,3
5299,Narayanapura,1485.0,3.0,85.0,3
5300,Narayanapura,1302.0,2.0,69.1,2
5301,Narayanapura,1308.0,2.0,89.04,2
5302,Narayanapura,2357.0,3.0,135.0,3
5303,Narayanapura,2357.0,3.0,135.0,3
5304,Narayanapura,1469.0,2.0,99.14,2
5307,Neeladri Nagar,2556.0,3.0,133.0,3
5308,Neeladri Nagar,674.0,1.0,21.0,1
5309,Neeladri Nagar,527.0,1.0,26.0,1
5312,Neeladri Nagar,640.0,1.0,20.5,1
5317,Nehru Nagar,1775.0,3.0,110.0,3
5321,Nehru Nagar,1374.0,3.0,72.0,3
5322,Nehru Nagar,1674.0,3.0,90.0,3
5326,OMBR Layout,2420.0,3.0,185.0,3
5327,OMBR Layout,1078.0,2.0,65.0,2
5328,OMBR Layout,1101.0,2.0,65.5,2
5329,OMBR Layout,1041.0,2.0,65.5,2
5330,OMBR Layout,1300.0,2.0,80.0,2
5331,OMBR Layout,1085.0,2.0,64.0,2
5332,OMBR Layout,1855.0,3.0,145.0,3
5334,OMBR Layout,1730.0,3.0,93.0,3
5335,OMBR Layout,1165.0,2.0,88.5,2
5336,OMBR Layout,1101.0,2.0,66.0,2
5337,OMBR Layout,3400.0,4.0,275.0,4
5339,Old Airport Road,2732.0,4.0,204.0,4
5340,Old Airport Road,1875.0,2.0,110.0,3
5341,Old Airport Road,3356.0,4.0,251.0,4
5342,Old Airport Road,1206.0,2.0,75.0,2
5343,Old Airport Road,2774.0,4.0,207.0,4
5344,Old Airport Road,2690.0,4.0,191.0,4
5345,Old Airport Road,2690.0,4.0,199.0,4
5346,Old Airport Road,1655.0,2.0,97.65,2
5347,Old Airport Road,1075.0,2.0,60.0,2
5348,Old Airport Road,1858.0,2.0,167.0,3
5349,Old Airport Road,1150.0,2.0,90.0,2
5350,Old Airport Road,2690.0,4.0,191.0,4
5351,Old Airport Road,2658.0,5.0,187.0,4
5352,Old Airport Road,946.0,2.0,58.0,2
5353,Old Airport Road,2774.0,4.0,208.0,4
5354,Old Airport Road,2774.0,4.0,208.0,4
5355,Old Airport Road,3200.0,4.0,280.0,4
5356,Old Airport Road,2690.0,4.0,201.0,4
5357,Old Airport Road,1145.0,2.0,75.0,2
5358,Old Airport Road,2732.0,4.0,194.0,4
5359,Old Airport Road,2658.0,5.0,189.0,4
5360,Old Airport Road,2774.0,4.0,197.0,4
5361,Old Airport Road,3496.0,4.0,262.0,4
5362,Old Airport Road,2774.0,4.0,197.0,4
5363,Old Airport Road,2732.0,4.0,204.0,4
5364,Old Airport Road,1798.0,3.0,150.0,3
5365,Old Airport Road,2774.0,4.0,208.0,4
5366,Old Airport Road,1184.0,2.0,78.0,2
5367,Old Airport Road,3504.0,4.0,262.0,4
5368,Old Airport Road,1055.0,2.0,75.0,2
5369,Old Madras Road,1425.0,2.0,94.0,3
5370,Old Madras Road,3715.0,6.0,224.5,4
5375,Old Madras Road,1720.0,3.0,100.0,3
5376,Old Madras Road,1200.0,2.0,72.0,2
5378,Old Madras Road,1100.0,2.0,70.0,2
5379,Old Madras Road,2760.0,5.0,157.0,3
5380,Old Madras Road,1171.0,2.0,75.0,2
5383,Old Madras Road,2640.0,5.0,142.0,3
5385,Old Madras Road,2010.0,3.0,125.0,4
5387,Old Madras Road,1480.0,2.0,84.0,3
5388,Old Madras Road,2990.0,5.0,210.0,3
5389,Old Madras Road,1210.0,2.0,74.0,2
5390,Old Madras Road,1171.0,2.0,72.0,2
5392,Old Madras Road,1480.0,3.0,95.0,3
5393,Old Madras Road,1425.0,2.0,74.31,3
5394,Old Madras Road,1210.0,2.0,80.0,2
5395,Old Madras Road,1859.0,3.0,121.0,3
5396,Old Madras Road,2990.0,5.0,173.0,3
5399,Old Madras Road,2300.0,3.0,142.0,3
5401,Old Madras Road,1210.0,2.0,80.0,2
5402,Old Madras Road,1210.0,2.0,77.0,2
5405,Old Madras Road,1330.0,2.0,74.0,2
5406,Old Madras Road,1720.0,3.0,106.0,3
5407,Old Madras Road,2640.0,5.0,150.0,3
5408,Old Madras Road,2990.0,3.0,170.0,3
5410,Old Madras Road,1171.0,2.0,73.0,2
5411,Old Madras Road,1630.0,3.0,110.0,3
5413,Old Madras Road,2640.0,2.0,170.0,2
5415,Padmanabhanagar,1020.0,2.0,63.0,2
5416,Padmanabhanagar,1176.0,2.0,62.0,2
5417,Padmanabhanagar,1258.0,2.0,115.0,2
5418,Padmanabhanagar,1708.0,2.0,90.5,3
5419,Padmanabhanagar,1100.0,2.0,65.0,2
5420,Padmanabhanagar,3400.0,3.0,210.0,4
5423,Padmanabhanagar,1360.0,2.0,75.0,3
5424,Padmanabhanagar,4500.0,4.0,360.0,3
5426,Padmanabhanagar,1710.0,2.0,90.63,3
5427,Padmanabhanagar,1000.0,1.0,90.0,2
5429,Padmanabhanagar,1250.0,2.0,70.0,3
5430,Padmanabhanagar,1350.0,3.0,71.55,3
5431,Padmanabhanagar,1360.0,3.0,75.0,3
5432,Padmanabhanagar,1100.0,2.0,60.0,2
5433,Padmanabhanagar,2051.0,3.0,180.0,3
5434,Padmanabhanagar,2051.0,3.0,170.0,3
5436,Pai Layout,1550.0,2.0,90.0,3
5440,Pai Layout,1255.0,2.0,80.0,2
5452,Panathur,1359.0,2.0,87.0,2
5453,Panathur,1438.0,2.0,100.0,2
5454,Panathur,1688.0,3.0,118.0,3
5455,Panathur,1695.0,3.0,90.0,3
5456,Panathur,1198.0,2.0,77.0,2
5457,Panathur,1180.0,2.0,70.0,2
5458,Panathur,1546.0,3.0,99.0,3
5459,Panathur,1370.0,2.0,75.0,3
5460,Panathur,1000.0,2.0,65.3,2
5461,Panathur,1109.0,2.0,63.0,2
5462,Panathur,1000.0,2.0,68.0,2
5463,Panathur,1255.0,2.0,79.0,2
5464,Panathur,1205.0,2.0,62.9,2
5465,Panathur,1198.0,2.0,82.0,2
5466,Panathur,1235.0,2.0,65.0,2
5467,Panathur,1210.0,2.0,80.0,2
5468,Panathur,1210.0,2.0,77.0,2
5469,Panathur,661.0,1.0,40.0,1
5470,Panathur,1210.0,2.0,78.0,2
5472,Panathur,1050.0,2.0,60.0,2
5473,Panathur,1398.0,2.0,97.0,2
5474,Panathur,1065.0,2.0,58.0,2
5475,Panathur,1007.0,2.0,64.0,2
5476,Panathur,1210.0,2.0,77.93,2
5477,Panathur,1230.0,2.0,80.0,2
5478,Panathur,980.0,2.0,57.0,2
5479,Panathur,1075.0,2.0,60.0,2
5480,Panathur,1210.0,2.0,69.0,2
5481,Panathur,1343.0,2.0,76.0,2
5491,Parappana Agrahara,1200.0,1.0,45.0,1
5497,Pattandur Agrahara,1550.0,2.0,80.0,3
5502,Pattandur Agrahara,1550.0,2.0,80.0,3
5521,Poorna Pragna Layout,960.0,2.0,50.0,2
5523,Prithvi Layout,2028.0,4.0,162.0,4
5524,Prithvi Layout,1352.0,2.0,87.5,2
5525,Prithvi Layout,1190.0,2.0,68.0,2
5526,Prithvi Layout,1352.0,2.0,85.0,2
5527,Prithvi Layout,1352.0,2.0,75.0,2
5528,Prithvi Layout,2273.0,4.0,220.0,3
5529,Prithvi Layout,1352.0,3.0,93.0,2
5530,Prithvi Layout,2273.0,4.0,192.0,3
5531,Prithvi Layout,1352.0,2.0,72.0,2
5532,Prithvi Layout,2100.0,3.0,125.0,3
5534,R.T. Nagar,1200.0,2.0,120.0,2
5535,R.T. Nagar,1560.0,3.0,85.0,3
5538,R.T. Nagar,1235.0,2.0,65.0,2
5539,R.T. Nagar,1140.0,3.0,130.0,3
5540,R.T. Nagar,970.0,2.0,55.0,2
5541,R.T. Nagar,1560.0,3.0,125.0,3
5544,R.T. Nagar,1400.0,2.0,78.0,3
5545,R.T. Nagar,1200.0,3.0,140.0,3
5546,R.T. Nagar,1100.0,3.0,125.0,2
5547,R.T. Nagar,1150.0,2.0,72.0,2
5548,R.T. Nagar,1500.0,4.0,185.0,4
5552,R.T. Nagar,1800.0,3.0,120.0,4
5553,R.T. Nagar,1300.0,3.0,145.0,3
5555,R.T. Nagar,1100.0,2.0,85.0,2
5556,R.T. Nagar,1667.0,3.0,130.0,3
5559,Rachenahalli,1050.0,2.0,55.5,2
5569,Rachenahalli,3657.0,5.0,220.0,4
5573,Rachenahalli,680.0,1.0,32.64,1
5574,Rachenahalli,412.5,1.0,19.8,1
5578,Rachenahalli,690.0,1.0,39.8,1
5580,Rachenahalli,1050.0,2.0,55.5,2
5589,Rachenahalli,1856.0,3.0,106.0,3
5592,Rachenahalli,2600.0,3.0,160.0,3
5605,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2
5609,Raja Rajeshwari Nagar,600.0,1.0,22.0,1
5611,Raja Rajeshwari Nagar,500.0,1.0,25.0,1
5614,Raja Rajeshwari Nagar,1105.0,2.0,65.0,2
5625,Raja Rajeshwari Nagar,1570.0,3.0,88.0,3
5626,Raja Rajeshwari Nagar,1168.0,2.0,61.0,2
5638,Raja Rajeshwari Nagar,1295.0,2.0,70.0,2
5639,Raja Rajeshwari Nagar,648.0,1.0,31.75,1
5650,Raja Rajeshwari Nagar,550.0,1.0,21.0,1
5652,Raja Rajeshwari Nagar,1608.0,2.0,85.0,2
5655,Raja Rajeshwari Nagar,1395.0,2.0,72.0,3
5657,Raja Rajeshwari Nagar,1288.0,2.0,70.0,3
5668,Raja Rajeshwari Nagar,1235.0,2.0,75.0,2
5671,Raja Rajeshwari Nagar,1162.0,2.0,65.0,2
5681,Raja Rajeshwari Nagar,1178.0,2.0,75.0,2
5685,Raja Rajeshwari Nagar,1525.0,2.0,99.13,3
5696,Raja Rajeshwari Nagar,3600.0,9.0,240.0,9
5701,Raja Rajeshwari Nagar,1160.0,2.0,70.0,2
5709,Raja Rajeshwari Nagar,1550.0,3.0,86.8,3
5712,Raja Rajeshwari Nagar,1580.0,3.0,83.74,3
5714,Raja Rajeshwari Nagar,1640.0,3.0,86.8,3
5721,Raja Rajeshwari Nagar,1090.0,2.0,57.0,2
5723,Raja Rajeshwari Nagar,1757.0,3.0,98.0,3
5729,Raja Rajeshwari Nagar,1090.0,2.0,57.0,2
5732,Raja Rajeshwari Nagar,3450.0,7.0,225.0,8
5736,Raja Rajeshwari Nagar,1250.0,2.0,68.0,2
5741,Raja Rajeshwari Nagar,1021.0,3.0,59.0,3
5743,Raja Rajeshwari Nagar,1500.0,3.0,88.0,3
5744,Raja Rajeshwari Nagar,1168.0,2.0,66.0,2
5745,Raja Rajeshwari Nagar,1400.0,2.0,86.0,3
5746,Raja Rajeshwari Nagar,1157.0,2.0,65.0,2
5754,Raja Rajeshwari Nagar,1850.0,3.0,98.0,3
5758,Raja Rajeshwari Nagar,510.0,1.0,22.0,1
5760,Raja Rajeshwari Nagar,1141.0,2.0,60.0,2
5761,Rajaji Nagar,1640.0,3.0,229.0,3
5762,Rajaji Nagar,2390.0,3.0,415.0,3
5763,Rajaji Nagar,2390.0,3.0,410.0,3
5764,Rajaji Nagar,1725.0,3.0,200.0,3
5765,Rajaji Nagar,3516.0,4.0,540.0,4
5766,Rajaji Nagar,1640.0,3.0,223.0,3
5767,Rajaji Nagar,3526.0,4.0,492.0,4
5768,Rajaji Nagar,1800.0,4.0,324.0,6
5769,Rajaji Nagar,3526.0,4.0,558.0,4
5770,Rajaji Nagar,3539.5,2.0,424.5,4
5771,Rajaji Nagar,2849.0,5.0,300.0,5
5772,Rajaji Nagar,1800.0,3.0,260.0,3
5773,Rajaji Nagar,1640.0,3.0,241.0,3
5774,Rajaji Nagar,1370.0,2.0,170.0,2
5775,Rajaji Nagar,2409.0,3.0,360.0,3
5776,Rajaji Nagar,3436.0,6.0,475.0,4
5777,Rajaji Nagar,1718.0,3.0,288.0,2
5778,Rajaji Nagar,2386.0,3.0,334.0,3
5779,Rajaji Nagar,3436.0,6.0,500.0,4
5780,Rajaji Nagar,1200.0,2.0,150.0,2
5781,Rajaji Nagar,1160.0,1.0,163.0,2
5782,Rajaji Nagar,660.0,1.0,75.0,1
5783,Rajaji Nagar,1440.0,2.0,170.0,2
5784,Rajaji Nagar,2448.0,3.0,400.0,3
5785,Rajaji Nagar,1440.0,2.0,185.0,2
5786,Rajaji Nagar,1640.0,3.0,230.0,3
5787,Rajaji Nagar,2648.0,5.0,251.5,4
5788,Rajaji Nagar,3730.0,4.0,370.0,4
5789,Rajaji Nagar,1800.0,2.0,250.0,3
5790,Rajaji Nagar,3100.0,4.0,550.0,4
5791,Rajaji Nagar,3526.0,4.0,598.0,4
5792,Rajaji Nagar,1357.0,2.0,130.0,2
5793,Rajaji Nagar,2300.0,3.0,369.0,3
5794,Rajaji Nagar,1640.0,3.0,220.0,3
5795,Rajaji Nagar,2500.0,3.0,350.0,3
5796,Rajaji Nagar,1615.0,3.0,175.0,3
5797,Rajaji Nagar,1776.0,3.0,190.0,3
5798,Rajaji Nagar,2559.0,3.0,403.0,3
5799,Rajaji Nagar,1763.0,3.0,262.0,2
5800,Rajaji Nagar,1640.0,3.0,220.0,3
5801,Rajaji Nagar,1613.0,3.0,150.0,3
5802,Rajaji Nagar,1380.0,3.0,130.0,3
5803,Rajaji Nagar,2400.0,3.0,320.0,5
5804,Rajaji Nagar,1800.0,3.0,240.0,3
5805,Rajaji Nagar,2533.0,3.0,425.0,3
5806,Rajaji Nagar,1268.0,2.0,127.0,2
5807,Rajaji Nagar,2450.0,3.0,330.0,3
5808,Rajaji Nagar,1640.0,3.0,262.0,3
5809,Rajaji Nagar,1200.0,1.0,200.0,2
5810,Rajaji Nagar,2367.0,3.0,375.0,3
5811,Rajaji Nagar,2440.0,2.0,415.0,4
5812,Rajaji Nagar,1640.0,3.0,251.0,3
5813,Rajaji Nagar,2733.0,5.0,259.0,4
5814,Rajaji Nagar,1640.0,3.0,268.0,3
5815,Rajaji Nagar,2367.0,4.0,340.0,3
5816,Rajaji Nagar,1720.0,3.0,224.0,3
5817,Rajaji Nagar,3600.0,5.0,510.0,5
5818,Rajaji Nagar,1350.0,4.0,230.0,4
5819,Rajaji Nagar,1700.0,3.0,200.0,3
5820,Rajaji Nagar,2300.0,4.0,240.0,3
5821,Rajaji Nagar,2400.0,5.0,408.0,5
5822,Rajaji Nagar,2500.0,3.0,340.0,3
5823,Rajaji Nagar,2390.0,3.0,372.0,3
5824,Rajaji Nagar,2415.0,3.0,399.0,3
5825,Rajaji Nagar,1718.0,3.0,275.0,2
5826,Rajaji Nagar,1763.0,3.0,240.0,2
5827,Rajaji Nagar,2367.0,3.0,320.0,3
5828,Rajaji Nagar,2409.0,3.0,395.0,3
5829,Rajaji Nagar,1314.0,2.0,225.0,2
5830,Rajaji Nagar,1440.0,2.0,165.0,2
5831,Rajaji Nagar,1640.0,3.0,245.0,3
5832,Rajiv Nagar,1690.0,3.0,125.0,3
5833,Rajiv Nagar,1263.0,2.0,93.32,2
5834,Rajiv Nagar,2340.0,4.0,148.0,4
5836,Rajiv Nagar,1330.0,2.0,93.0,2
5838,Rajiv Nagar,1309.0,2.0,80.0,2
5839,Rajiv Nagar,2340.0,4.0,145.0,4
5840,Rajiv Nagar,2330.0,5.0,175.0,4
5841,Rajiv Nagar,2340.0,5.0,160.0,4
5845,Ramagondanahalli,1610.0,2.0,111.0,3
5846,Ramagondanahalli,540.0,1.0,30.0,1
5850,Ramagondanahalli,2257.0,4.0,157.0,3
5852,Ramagondanahalli,1610.0,2.0,115.0,3
5853,Ramagondanahalli,920.0,2.0,65.0,2
5857,Ramagondanahalli,1295.0,2.0,95.0,2
5860,Ramagondanahalli,2257.0,3.0,159.0,3
5861,Ramagondanahalli,1295.0,2.0,95.0,2
5863,Ramagondanahalli,1910.0,3.0,142.0,3
5867,Ramagondanahalli,1610.0,2.0,115.0,3
5871,Ramagondanahalli,845.0,2.0,45.82,2
5872,Ramagondanahalli,1910.0,3.0,150.0,3
5874,Ramagondanahalli,2040.0,3.0,114.0,3
5879,Ramagondanahalli,1610.0,2.0,112.0,3
5880,Ramagondanahalli,1610.0,2.0,115.0,3
5882,Ramagondanahalli,2787.0,5.0,220.0,4
5884,Ramagondanahalli,1125.0,2.0,75.0,2
5886,Ramagondanahalli,2257.0,3.0,155.0,3
5887,Ramagondanahalli,1500.0,3.0,100.0,3
5889,Ramagondanahalli,1910.0,3.0,131.0,3
5890,Ramamurthy Nagar,3700.0,4.0,225.0,4
5895,Ramamurthy Nagar,1200.0,3.0,72.0,2
5896,Ramamurthy Nagar,360.0,1.0,26.0,1
5897,Ramamurthy Nagar,950.0,2.0,50.79,2
5898,Ramamurthy Nagar,1200.0,2.0,66.0,3
5899,Ramamurthy Nagar,1525.0,3.0,100.0,3
5900,Ramamurthy Nagar,1200.0,2.0,80.0,2
5903,Ramamurthy Nagar,1100.0,2.0,68.0,2
5909,Ramamurthy Nagar,600.0,3.0,45.0,2
5910,Ramamurthy Nagar,1110.0,2.0,65.0,2
5912,Ramamurthy Nagar,1200.0,2.0,78.0,2
5914,Ramamurthy Nagar,600.0,1.0,43.0,1
5915,Ramamurthy Nagar,1006.0,2.0,57.0,2
5916,Ramamurthy Nagar,1200.0,2.0,76.0,2
5921,Ramamurthy Nagar,1000.0,2.0,62.0,2
5930,Ramamurthy Nagar,2916.0,5.0,230.0,4
5931,Ramamurthy Nagar,2316.0,3.0,125.0,3
5937,Ramamurthy Nagar,1200.0,2.0,68.0,2
5938,Ramamurthy Nagar,540.0,1.0,35.0,1
5946,Rayasandra,583.0,1.0,26.9,1
5953,Rayasandra,470.0,1.0,21.0,1
5956,Sahakara Nagar,2830.0,3.0,195.0,4
5957,Sahakara Nagar,1500.0,2.0,95.0,3
5960,Sahakara Nagar,1100.0,2.0,75.0,3
5961,Sahakara Nagar,1655.0,3.0,115.0,3
5963,Sahakara Nagar,1270.0,2.0,69.85,2
5964,Sahakara Nagar,960.0,2.0,56.0,2
5967,Sahakara Nagar,1200.0,2.0,75.0,3
5968,Sahakara Nagar,2500.0,4.0,200.0,4
5969,Sahakara Nagar,1914.0,3.0,179.0,3
5970,Sahakara Nagar,1500.0,3.0,125.0,3
5972,Sahakara Nagar,1914.0,3.0,149.0,3
5973,Sahakara Nagar,1000.0,2.0,60.0,2
5976,Sahakara Nagar,1370.0,2.0,90.0,3
5978,Sahakara Nagar,1100.0,2.0,75.0,3
5979,Sahakara Nagar,1180.0,2.0,72.0,2
5983,Sahakara Nagar,1270.0,2.0,96.0,2
5984,Sahakara Nagar,1201.0,2.0,80.0,2
5986,Sahakara Nagar,1291.0,2.0,72.3,2
5987,Sanjay nagar,1000.0,2.0,70.0,2
5988,Sanjay nagar,1100.0,2.0,98.0,2
5989,Sanjay nagar,1150.0,2.0,72.2,2
5990,Sanjay nagar,1800.0,3.0,180.0,3
5991,Sanjay nagar,630.0,1.0,35.0,2
5993,Sanjay nagar,1900.0,2.0,180.0,3
5994,Sanjay nagar,1575.0,2.0,90.0,2
5995,Sanjay nagar,1450.0,3.0,75.0,3
5996,Sanjay nagar,1200.0,2.0,76.0,3
5997,Sanjay nagar,960.0,2.0,55.0,2
5998,Sanjay nagar,1050.0,2.0,59.0,2
5999,Sanjay nagar,1150.0,2.0,70.0,2
6000,Sanjay nagar,1500.0,3.0,150.0,3
6001,Sanjay nagar,1180.0,2.0,80.0,2
6002,Sarakki Nagar,2121.0,4.0,253.0,3
6003,Sarakki Nagar,2289.0,3.0,260.0,3
6004,Sarakki Nagar,2500.0,4.0,325.0,3
6005,Sarakki Nagar,2145.0,4.0,270.0,3
6006,Sarakki Nagar,1200.0,3.0,128.0,3
6007,Sarakki Nagar,2663.0,4.0,338.0,3
6008,Sarakki Nagar,1840.0,4.0,175.0,3
6009,Sarakki Nagar,3131.0,4.0,349.0,4
6010,Sarakki Nagar,3126.0,5.0,345.0,4
6011,Sarakki Nagar,3124.0,6.0,349.0,4
6012,Sarjapur,2250.0,3.0,148.0,3
6016,Sarjapur,1128.0,2.0,60.0,2
6019,Sarjapur,649.5,1.0,17.535,1
6025,Sarjapur,1285.0,2.0,68.0,3
6031,Sarjapur,1200.0,3.0,78.0,3
6034,Sarjapur,2238.0,3.0,140.0,3
6036,Sarjapur,2885.0,3.0,185.0,4
6039,Sarjapur,625.0,1.0,19.0,1
6042,Sarjapur,2100.0,3.0,125.0,4
6049,Sarjapur,650.0,1.0,19.87,1
6056,Sarjapur,1200.0,3.0,76.13,3
6073,Sarjapur,633.0,1.0,17.09,1
6074,Sarjapur,1500.0,5.0,95.0,3
6075,Sarjapur,1451.0,2.0,87.0,2
6080,Sarjapur  Road,2497.0,3.0,140.0,3
6081,Sarjapur  Road,1787.0,3.0,98.29,3
6082,Sarjapur  Road,1787.0,3.0,125.0,3
6086,Sarjapur  Road,1000.0,2.0,67.0,2
6087,Sarjapur  Road,1346.0,2.0,74.03,2
6088,Sarjapur  Road,1195.0,2.0,70.0,2
6089,Sarjapur  Road,1550.0,3.0,100.0,3
6090,Sarjapur  Road,2100.0,3.0,125.0,3
6092,Sarjapur  Road,1691.0,3.0,113.0,3
6093,Sarjapur  Road,1278.0,2.0,95.0,2
6094,Sarjapur  Road,2238.0,3.0,140.0,3
6095,Sarjapur  Road,1800.0,3.0,110.0,3
6099,Sarjapur  Road,1984.0,4.0,146.0,3
6101,Sarjapur  Road,1128.0,2.0,59.0,2
6103,Sarjapur  Road,1700.0,3.0,110.0,3
6104,Sarjapur  Road,1157.0,2.0,75.0,3
6105,Sarjapur  Road,1282.0,2.0,72.0,2
6106,Sarjapur  Road,4111.0,4.0,310.0,4
6107,Sarjapur  Road,3430.0,6.0,228.5,4
6108,Sarjapur  Road,3900.0,4.0,300.0,4
6111,Sarjapur  Road,1050.0,2.0,62.0,2
6112,Sarjapur  Road,1700.0,3.0,135.0,3
6113,Sarjapur  Road,1691.0,3.0,119.0,3
6114,Sarjapur  Road,1846.0,3.0,140.0,3
6115,Sarjapur  Road,1200.0,3.0,95.0,3
6116,Sarjapur  Road,1929.0,4.0,103.0,3
6118,Sarjapur  Road,1819.0,3.0,100.0,3
6119,Sarjapur  Road,1845.0,4.0,110.0,3
6120,Sarjapur  Road,1233.0,2.0,77.65,2
6124,Sarjapur  Road,3750.0,6.0,290.0,4
6126,Sarjapur  Road,1680.0,3.0,112.0,3
6127,Sarjapur  Road,1255.0,2.0,92.0,2
6129,Sarjapur  Road,1311.0,2.0,78.0,2
6131,Sarjapur  Road,1157.0,2.0,75.0,3
6132,Sarjapur  Road,1145.0,2.0,75.0,2
6133,Sarjapur  Road,1300.0,2.0,70.0,3
6135,Sarjapur  Road,1725.0,3.0,90.0,3
6136,Sarjapur  Road,1476.0,2.0,98.94,3
6137,Sarjapur  Road,2180.0,3.0,170.0,3
6140,Sarjapur  Road,1750.0,3.0,110.0,3
6143,Sarjapur  Road,1200.0,3.0,70.0,3
6144,Sarjapur  Road,2600.0,3.0,200.0,3
6146,Sarjapur  Road,685.0,1.0,40.0,1
6148,Sarjapur  Road,2720.0,5.0,210.0,3
6149,Sarjapur  Road,1241.0,2.0,82.0,2
6152,Sarjapur  Road,3785.0,6.0,280.0,4
6153,Sarjapur  Road,835.0,1.0,46.95,1
6154,Sarjapur  Road,1280.0,2.0,76.0,2
6157,Sarjapur  Road,1263.0,2.0,78.0,2
6158,Sarjapur  Road,1691.0,3.0,98.0,3
6160,Sarjapur  Road,1308.0,2.0,83.0,2
6161,Sarjapur  Road,1592.0,3.0,91.0,3
6163,Sarjapur  Road,1150.0,2.0,77.0,2
6164,Sarjapur  Road,1965.0,3.0,120.0,3
6165,Sarjapur  Road,2275.0,4.0,180.0,3
